Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
Omni,"Aaron Wiener, Adam Dexter, Thomas McLeod","Aug 1, 2014","Jan 6, 2020","Apps, marketplace, mobile",35.3M,"San Francisco, California, United States",51-100,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/c5rz7hpojjlmwdq8ea1l"
CloudCI,Charles Green,"Aug 27, 2020","Dec 31, 2020",Cloud Security,,"Greater Philadelphia Area, East Coast, Southern US",1-10,Continuous Code Quality & Security Analysis for Go,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/x40ldzpbl3s1mzm6vmz7"
RangoHunt,"Joao Victor Rocha Soares, Rodrigo Meurer","Jun 15, 2020","Dec 15, 2020","Food and Beverages, Food Delivery, Restaurants",,Latin America,1-10,Food delivery data startup helping restaurants to improve their results in delivery channel and helping users to find the best food offer,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dnlhkl4g7fhhcmisaewn"
99dresses,Nikki Durkin,2010,Jun 2014,"Apps, Fashion, File Sharing",105.7K,"Asia-Pacific (APAC), Australasia",1-10,99dresses is a virtual closet that allows user to trade fashion items with other users,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196844/5ff540c906cff2a77d988bde2b0f4e55.png"
Yellloh,"Adrian Grayson-Widarsito, Andy Crone, Jon Wellman","May 1, 2013","Jan 16, 2014","Apps, Blogging platforms, communities, social media",91.9K,"Asia-Pacific (APAC), Australasia",1-10,Yellloh is a social network that connects people based on their interests,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1419280365/u74fvakuuvsiywihc06c.png"
Timtara,Arindam Bose,"May 1, 2010",,E-Commerce,,"Noida, Uttar Pradesh, India",11-50,"huge range of electronic gadgets such as LCS, Cameras, Mobiles, Laptops & peripherals, Health Care, etc.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397195093/ed75c88bfc0003a9fb9f150ce6b052a7.jpg"
Vault,"Emiliano Villareal, Josh Pierce, Tony Aguilar",2013,2014,"Financial services, lending, personal finance",16M,"Austin, Texas, United States",11-50,Attract top talent with a workplace benefit that helps your employees crush their student loan debt.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414413017/nlcx4ovi8pcm5ksblc3z.png"
Assetiz,Arian Adeli Koodehi,"Mar 22, 2020","Jun 7, 2021","Business Development, Finance, Media and Entertainment",,,11-50,"Assetiz is a publication which focuses on daily news, finance, business, entrepreneurship, politics, STEM, and lifestyle. We aim to provide the most reliable and informative articles to our audience.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vwqwrqevzjfurrugdqgg"
GRANDUNO inc,"Mary-Queenie Adam, Morgane Adam","April 1, 2021",,"Communities, Content, Social Media, Social Network",,"Washington DC Metro Area,Southern US",1-10,Small businesses unite,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/retaqzfacejarngfjuak"
LearnBite,"Jason Bloxsidge, Simon Seebaluck",Aug 2019,"Jun 24, 2021",Higher Education,,,1-10,"LearnBite is a new era in teaching and learning, built for maximum student engagement. Using micro learning theory, LearnBite delivers short bite size business video's that are designed for gen y & z, interactive features and ESL student friendly.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gzn0lghesn9vutaezqd6"
AWOK.com,Ulugbek Yuldashev,"Apr 4, 2013","Sept 2, 2020","Consumer electronics, content discovery, e-commerce, mobile, shopping",30M,Gulf Cooperation Council (GCC),501-1000,Mass market E-commerce abusiness offering affordable products in UAE and KSA with mobile centric approach,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397189105/ce63821d149b1d767f5989fd77233788.png"
Maverix Private Equity,John Ruffolo,"Jan 1, 2019","Apr 13, 2021",Financial services,,"Toronto, Ontario, Canada",11-50,Maverix Private Equity is a private equity firm focused on technology-enabled growth and disruption.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jfjjmwst734edgbnpreq"
HubHaus,"Kerry Jones, Shruti Merchant, Sloane Yu","Jan 16, 2016",,"Real Estate, Rental, Rental Property",13.4M,"San Francisco Bay Area, Silicon Valley, West Coast",11-50,"HubHaus is a provider of a shared community platform intended to solve housing issues in the modern age. The company's platform offers a holistic service for setting people up in co-living spaces, from creating welcoming homes in neighborhoods where people want to live in, setting up Wi-Fi and utilities to furnishing the place and findingsuitable tenants to share with, enabling urban and mobile consumers with increasing demands for cost-effective housing and the growing global trend of co-living.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bljyuddccuknjkdprrux"
CommonX,Justin Reimonenq,"Aug 17, 2020","May 1, 2021","Internet, Mobile, Reservations, Retail, Software",25K,"Chicago, Illinois, United States",1-10,We have created a social solution for the COVID-19 pandemic that people can use to insulate their social networks from the worry or risk of spreading COVID-19. Launching public beta by Nov. 13.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vmjnzlmcy0utafjuo95f"
fees,"Matteo Mazzolari, Paolo Pavesi",Nov 2018,May 2021,"Apps, Finance, Financial Services, FinTech, Mobile, SaaS",257.5K,"Cremona, Emilia-Romagna, Italy",1-10,Fees is an innovative startup that provides an online expense management service through a mobile App for end-users and businesses worldwide,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nhoeobdiqbb40rhojejr"
SudershanTech,Kumar Sudershan,"May 31, 2020","Jan 19, 2021","Education, information services, information technology",,"Delhi, Delhi, India",11-50,"SudershanTech is a Multinational Educational Technology Company, Headquarters in Delhi, India.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gohyiblukiw1sqb21tb8"
Thepssaini Services,Parkashjit Singh,"Sep 9, 2020","Jan 31, 2021","Advertising, marketing, music label, social entrepreneurship, social media marketing, web development",,"Mohali, Punjab, India",1-10,"Thepssaini Services Provide You YouTube Artist Channel, Distribute Your Music music, Release Your PR articles on top news website & more.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hhfvgnftvnvnmxpu7yhj"
Groben IT Solutions,Dirk Groben,"Oct 1, 2016","Mar 1, 2021","Apps, consulting, cyber security, software",,"Frankfurt, Hessen, Germany",1-10,IT consulting with the highest possible quality and tailor-made software development.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1485824127/rbzkwfciifzwcn12c279.png"
Oneset,,2014,,"Apps, Fitness, Health Care, Sports, Video",25K,Great Lakes,1-10,A community app that shares workout ideas through 15 second videos.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1426592069/syqzdygs9u5b3jfbowrs.png"
Singspiel,"Arian Rahbari, Ivan Cheung","Jan 12, 2013",,"Education, Internet, Mobile, Music ",428.3K,Great Lakes,1-10,"Singspiel is an incredibly easy way to learn music on your own and figure out if you're improving. It is like a virtual music teacher that provides you realtime feedback on how you play. Singspiel is the music learning equivalent for what Duolingo is for language learning. Using our product, Students can self-sufficiently develop their performance, aural and theory skills in music.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397180402/c53d6ec8e312d9547f63f188349c48b5.jpg"
TerrAvion,"Cornell Wright, Robert Morris",2013,,"Agriculture, Developer Tools, Farming, Robotics",10M,"San Francisco Bay Area,  West Coast",11-50,TerrAvion Provides high revisit rate aerial imagery for agriculture.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489824706/umgzl8quk4xlz705zo4n.png"
Rubica,,"Mar 23, 2016",,"Cyber security, Employee Benefits, Mobile Devices, Network security, security, small and medium businesses, software",14.6M,"San Francisco Bay Area, West Coast",11-50,Advanced cybersecurity for remote workers & mixed-use device environments. Threat detection & prevention built for ease-of-use.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1494484449/badwblsljsitg9ibqczw.png"
Lumened ,Ryan McCartney,2019,,Education,30K,Great Lakes,1-10,"LumenEd is an online tutoring and education company. We help tutoring companies calm the chaos and increase access to high quality learning.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zcdj0rmxjcu8qae15s8n"
Starsky Robotics,"kartik Tiwari, Stefan Seltz-Axmacher","Mar 19, 2020",,"Autonomous vehicles, robotics, transportation",20.3M,"San Francisco Bay Area, West Coast",,Starsky Robotics is a San Francisco-based autonomous trucking company.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489888603/bnkyrog3qj6keucwkiau.png"
ubiome,"Jessica Richman, Zachary Apte","Nov 1, 2012",,"Fitness, Genetics, Health care, wellness",109.9M,"San Francisco Bay Area, West Coast",101-250,uBiome is a provider of public access to DNA sequencing technology to understand the microbiome.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vm3m2ox24aohoxv3uulw"
DAQRI,"Brian Mullins, Gaia Dempsey, Philip Tolk",2010,,"Augmented Reality, enterprise software, hardware, internet of things, wearables",275M,"Greater Los Angeles area, west coast",101-250,DAQRI is professional-grade AR. We build the AR platform that empowers you solve the most meaningful problems.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1456941622/uvdcovzolmntig24k1v1.jpg"
WorldVuze,,2012,,Education,,"Can, Cabakkale, Turkey",11-50,"WorldVUZE is a tool for teachers to help their students learn what other students around the world are thinking about any topic, place, or event, any time. Acting as a 'living database' of student questions and perspectives, teachers can use WorldVUZE to bring first-hand relevance to any K-12 curriculum subject.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397195037/0f47468f1124636641be5debf9a19174.jpg"
Oryx Vision,Rani Wellingstein,2009,"Aug 25, 2019","Automotive, autonomous vehicles, computer vision, robotics, semiconductor",67M,"Petah Tiqva, HaMerkaz, Israel",11-50,"Oryx Vision develops solid state depth vision solutions for autonomous vehicles.
",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1472643352/o6xs4we3emuywiombdiv.png"
homepolish,"Noa Santos, Will Nathan",2012,,"Home Decor, home renovation, interiori design",17M,"Greater New York Area, East Coast, Northeastern US",11-50,"Homepolish brings savvy, expert interior designers - recruited from the top firms and schools in the country - right to your doorstep.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1408984828/cqyl4twrszq64reimjsl.png"
Panda TV,Sicong Wang,2015,,"Digital media, esports, media and entertainment, video, video games, video streaming",242.6M,Asia-Pacific (APAC),11-50,"Panda.tv is a website that provides user submitted videos in categories such as video games, fighting, and singing.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1474276442/u1s9u7p7uio6btqod8gc.png"
roadstar.ai,,2017,,"Artificial intelligence, autonomous vehicles, internet of things, machine learning, robotics",140M,Asia-Pacific (APAC),51-100,"Roadstar.ai empowers cars and trucks with artificial intelligence, so as to make transportation safer, more enjoyable, more efficient.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ifrasbbkpsyc1j1gtqyg"
CloudMine,"Brendan McCorkle, Ilya Braude, Ilya Braude, Marc Weil",2011,2018,"Enterprise Software, Health Care, information technology, mobile",18.7M,"Greater Philadelphia Area, Great Lakes, Northeastern US",11-50,"CloudMine is a HIPAA compliant data enablement platform for healthcare, empowering users to operationalize their most sensitive data.
",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397201923/fb3238e1e509e8431312b4ab7f4ae7c3.png"
Driver Inc,"Petros Giannikopoulos, William Polkinghorn",May 2015,2019,"health care, internet, marketplace",,"San Francisco Bay Area, West Coast, Western US",51-100,"Driver is a technology platform that connects people to treatments and knowledge, all over the world, to get more life.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/puwbpe2cezoyalsyriah"
Path,"Dave Morin, Dustin Mierau, Shawn Fanning","Nov 1, 2010",2018,"messaging, mobile, photo sharing",66.2M,"San Francisco Bay Area, West Coast, Western US",51-100,Path is a mobile photo-sharing and messaging service for building personal social networks with up to 150 contacts.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1497310966/fvdkzi1e2rma1xhtns36.png"
CareSync,Travis Bond,"Oct 1, 2011",,"Health care, information technology, mHealth, software",49M,"Tampa Bay Area, East Coast, Southern US",251-500,CareSync is the leading provider of software and services for chronic disease management.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1413945893/ih7vhxeqmmr3zf7hnkgs.png"
Trendr,"George Stamatis, Michael Beddows, Peter Davison",2012,2016,"Events, messaging, mobile, private social networking, professional networking ",110K,"Montréal, Quebec, Canada",11-50,"Discover, chat, and meet with members of your professional groups. Reconnect, stay in touch, and nurture your relationships - because where you are in five years depends on who you meet today.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181599/83613313a51a275cba8d4c01232293e1.png"
Bunch ,"Andrew Sider, Hesam Hosseini",2011,2014,"social news, web hosting ",1.6M,"Montréal, Quebec, Canada",11-50,Bunch is a new topic-based network where members can publish and engage around topic they are passionate about with people who feel the same way. The vision of the company is to bring depth to social media by connecting people passionate about a topic and by building the first discussion platform for the average Internet user. ,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397184227/5187c95b18ec3f65fd1797fcbb9fe283.png"
Infonaut Inc. ,,"Jan 1, 2006",2020,"health care, ",250K,"Toronto, Ontario, Canada",11-50,"Infonaut Inc. offers infection prevention and control, clinical risk awareness, and behavior and culture improvement services.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1447926180/zgp5s2u8owgylkbyfbjo.png"
NorthLabs ,"Daniel Alksnis, Dylan Lenz, John van der Woude","Dec 1, 2014","Oct 31, 2015","Machine Learning, Urban Planning, Real Estate  ",100K ,"Toronto, Ontario, Canada",1-10,"North Labs is an R&D firm focused on pattern recognition and machine learning for urban planning, real estate, finance, and consumer retail.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ogigflm5ilcp1yx2f2qz"
OMsignal,"Frederic Chanay, Stephane Marceau",2011,2019,"biometrics, hardware, health care",24.3M,"Montréal, Quebec, Canada",11-50,Omsignal manufactures bio-sensing clothing that connects to iPhones and iPads in real-time.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/he1vcyeq96eyzkn6wpc7"
Shoebox,"Kalu Kalu, Steve Cosman","Mar 1, 2012","Jun 2, 2019","online portals, photo sharing, photography",1.2M,"Toronto, Ontario, Canada",1-10,Shoebox is a service that provides unlimited online photo backups.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1450235243/pbeymnmladhbuiajxt91.png"
NURL,Shauna O'Flaherty,"Jul 1, 2019",,"AI, fintech, insurance, machine learning, security, smart cities, telecommunications, transportations",,"Toronto, Ontario, Canada",,"NURL develops proprietary AI models to improve efficiency, safety, and financial returns for smart cities, telecom, mobility, and security.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xt6x1i3fgqu3btvkf6u9"
The Shelf ,,"Dec 1, 2009",,"e-commerce, eduction, university  ",300K,"montréal, Quebec, Canada",1-10,The Shelf is a social textbook exchange that makes it easier to find books being sold locally at school and by friends.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397200347/20a3d1647bbb172059b0e318472fa605.png"
Benchwork,Kathleen Chan,2019,2020,"fashion, manufacturing, SaaS",110.9K,"Toronto, Ontario, Canada",1-10,On-demand fashion production in a matter of clicks not months,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xnltjiysdw07n6eejs7e"
Maverix Private Equity,John Ruffolo,"Jan 1, 2019","Apr 13, 2021",financial services,,"Toronto, Ontario, Canada",11-50,Maverix Private Equity is a private equity firm focused on technology-enabled growth and disruption.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jfjjmwst734edgbnpreq"
